date,IT Dep.,CostElement,Country,Budget
27-01-2020,Administration,Employee Performance,USA,6680
08-02-2020,Administration,Employee Performance,USA,10951
20-03-2020,Administration,Employee Performance,USA,38940
06-04-2020,Administration,Employee Performance,USA,28032
13-05-2020,Administration,Employee Performance,USA,13319
24-06-2020,Administration,Employee Performance,USA,12537
14-07-2020,Administration,Employee Performance,USA,28279
08-08-2020,Administration,Employee Performance,USA,33160
11-09-2020,Administration,Employee Performance,USA,29316
23-10-2020,Administration,Employee Performance,USA,23866
16-11-2020,Administration,Employee Performance,USA,12264
14-12-2020,Administration,Employee Performance,USA,22641
12-01-2020,Administration,External Labor,USA,"20,250"
26-02-2020,Administration,External Labor,USA,"52,545"
04-03-2020,Administration,External Labor,USA,"16,317"
20-04-2020,Administration,External Labor,USA,"29,629"
26-05-2020,Administration,External Labor,USA,"51,940"
16-06-2020,Administration,External Labor,USA,"30,312"
22-07-2020,Administration,External Labor,USA,"1,49,810"
07-08-2020,Administration,External Labor,USA,"1,44,371"
22-09-2020,Administration,External Labor,USA,"1,32,107"
04-10-2020,Administration,External Labor,USA,"1,26,492"
19-11-2020,Administration,External Labor,USA,"1,67,838"
14-12-2020,Administration,External Labor,USA,"1,62,554"
20-01-2020,Administration,Hardware Maintenance,USA,37673
27-02-2020,Administration,Hardware Maintenance,USA,39030
04-03-2020,Administration,Hardware Maintenance,USA,17003
12-04-2020,Administration,Hardware Maintenance,USA,20299
06-05-2020,Administration,Hardware Maintenance,USA,14851
23-06-2020,Administration,Hardware Maintenance,USA,11947
13-07-2020,Administration,Hardware Maintenance,USA,9933
22-08-2020,Administration,Hardware Maintenance,USA,27610
05-09-2020,Administration,Hardware Maintenance,USA,33070
10-10-2020,Administration,Hardware Maintenance,USA,25104
15-11-2020,Administration,Hardware Maintenance,USA,22569
18-12-2020,Administration,Hardware Maintenance,USA,3520
02-01-2020,Administration,Internal Labor,United Kingdom,"17,594"
27-02-2020,Administration,Internal Labor,United Kingdom,"-9,423"
07-03-2020,Administration,Internal Labor,United Kingdom,"6,922"
22-04-2020,Administration,Internal Labor,United Kingdom,"-15,417"
02-05-2020,Administration,Internal Labor,United Kingdom,"-1,373"
08-06-2020,Administration,Internal Labor,United Kingdom,"-13,502"
06-07-2020,Administration,Internal Labor,United Kingdom,-506
20-08-2020,Administration,Internal Labor,United Kingdom,"11,714"
28-09-2020,Administration,Internal Labor,United Kingdom,"-7,213"
05-10-2020,Administration,Internal Labor,United Kingdom,"-8,763"
10-11-2020,Administration,Internal Labor,United Kingdom,"-10,396"
08-12-2020,Administration,Internal Labor,United Kingdom,"-8,670"
15-01-2020,Administration,Internal Labor,USA,"1,41,222"
13-02-2020,Administration,Internal Labor,USA,"1,42,790"
17-03-2020,Administration,Internal Labor,USA,"1,30,874"
22-04-2020,Administration,Internal Labor,USA,"1,18,173"
06-05-2020,Administration,Internal Labor,USA,"1,26,248"
28-06-2020,Administration,Internal Labor,USA,"1,27,277"
07-07-2020,Administration,Internal Labor,USA,"1,11,641"
23-08-2020,Administration,Internal Labor,USA,"1,43,192"
02-09-2020,Administration,Internal Labor,USA,"1,36,784"
05-10-2020,Administration,Internal Labor,USA,"1,40,455"
12-11-2020,Administration,Internal Labor,USA,"1,16,727"
09-12-2020,Administration,Internal Labor,USA,"1,32,930"
27-06-2020,Administration,Moving,USA,"22,726"
02-01-2020,Administration,Other,United Kingdom,"9,519"
10-02-2020,Administration,Other,United Kingdom,"20,034"
23-03-2020,Administration,Other,United Kingdom,"7,008"
21-04-2020,Administration,Other,United Kingdom,"-14,667"
03-05-2020,Administration,Other,United Kingdom,"-5,138"
01-06-2020,Administration,Other,United Kingdom,"-3,436"
19-07-2020,Administration,Other,United Kingdom,"3,521"
17-08-2020,Administration,Other,United Kingdom,"24,718"
13-09-2020,Administration,Other,United Kingdom,"7,582"
19-10-2020,Administration,Other,United Kingdom,"14,262"
16-11-2020,Administration,Other,United Kingdom,"18,173"
08-12-2020,Administration,Other,United Kingdom,"15,849"
18-01-2020,Administration,Other,USA,"33,019"
27-02-2020,Administration,Other,USA,8876
19-03-2020,Administration,Other,USA,"30,503"
06-04-2020,Administration,Other,USA,37235
08-05-2020,Administration,Other,USA,23343
05-06-2020,Administration,Other,USA,"46,261"
07-07-2020,Administration,Other,USA,4199
15-08-2020,Administration,Other,USA,"47,505"
01-09-2020,Administration,Other,USA,"29,544"
07-10-2020,Administration,Other,USA,"12,180"
22-11-2020,Administration,Other,USA,9466
10-12-2020,Administration,Other,USA,"50,468"
25-01-2020,Administration,Outbound Allocations,United Kingdom,18412
